name	zone	ideal habitat	favorites (csv)
Hitmonlee	Withered Wasteland	Bright	Exercise,Group activities,Fabric,Stone stuff,Round stuff,Spicy flavors
Hitmonchan	Withered Wasteland	Bright	Exercise,Group activities,Fabric,Stone stuff,Round stuff,Sweet flavors
Hitmontop	Withered Wasteland	Bright	Exercise,Group activities,Fabric,Stone stuff,Round stuff,Sweet flavors
Tangrowth	Withered Wasteland	Humid	Lots of nature,Complicated stuff,Letters and words,Strange stuff,Group activities,Dry flavors
Scyther	Withered Wasteland	Bright	Lots of nature,Nice breezes,Wooden stuff,Sharp stuff,Exercise,Spicy flavors
Pinsir	Withered Wasteland	Bright	Lots of nature,Wooden stuff,Pretty flowers,Sharp stuff,Exercise,Spicy flavors
Magikarp	Withered Wasteland	Humid	Lots of water,Ocean vibes,Group activities,Rides,Wobbly stuff,Sweet flavors
Ditto	Withered Wasteland	Bright	
Hoothoot	Withered Wasteland	Dark	Soft stuff,Nice breezes,Fabric,Wobbly stuff,Watching stuff,Dry flavors
???	Withered Wasteland	Dark	
Heracross	Withered Wasteland	Bright	Lots of nature,Wooden stuff,Pretty flowers,Looks like food,Exercise,Sweet flavors
???	Withered Wasteland	Dark	
Illumise	Withered Wasteland	Dark	Lots of nature,Wooden stuff,Shiny stuff,Cute stuff,Group activities,Sour flavors
Gulpin	Withered Wasteland	Humid	Cute stuff,Looks like food,Round stuff,Containers,Colorful stuff,Spicy flavors
Cacnea	Withered Wasteland	Dry	Lots of nature,Pretty flowers,Cute stuff,Round stuff,Sharp stuff,Spicy flavors
Cacturne	Withered Wasteland	Dry	Lots of nature,Nice breezes,Luxury,Shiny stuff,Sharp stuff,Dry flavors
Combee	Withered Wasteland	Bright	Lots of nature,Nice breezes,Wooden stuff,Gatherings,Group activities,Sweet flavors
Vespiquen	Withered Wasteland	Bright	Lots of nature,Nice breezes,Wooden stuff,Gatherings,Complicated stuff,Sweet flavors
Shellos	Withered Wasteland	Humid	Lots of water,Ocean vibes,Cleanliness,Colorful stuff,Containers,Sour flavors
Gastrodon	Withered Wasteland	Humid	Lots of water,Lots of dirt,Ocean vibes,Cleanliness,Containers,Sour flavors
Drifloon	Withered Wasteland	Warm	Spooky stuff,Strange stuff,Nice breezes,Cute stuff,Round stuff,Bitter flavors
Drilbur	Withered Wasteland	Dark	Lots of dirt,Stone stuff,Lots of nature,Watching stuff,Sharp stuff,Sour flavors
Excadrill	Withered Wasteland	Dark	Lots of dirt,Metal stuff,Exercise,Watching stuff,Sharp stuff,Sour flavors
Timburr	Withered Wasteland	Bright	Exercise,Construction,Wooden stuff,Slender objects,Blocky stuff,Spicy flavors
Gurdurr	Withered Wasteland	Bright	Exercise,Construction,Metal stuff,Slender objects,Group activities,Spicy flavors
Litwick	Withered Wasteland	Warm	Spooky stuff,Strange stuff,Lots of fire,Wobbly stuff,Blocky stuff,Bitter flavors
Lampent	Withered Wasteland	Warm	Spooky stuff,Strange stuff,Lots of fire,Wobbly stuff,Containers,Bitter flavors
Axew	Withered Wasteland	Dark	Lots of fire,Luxury,Lots of dirt,Hard stuff,Sharp stuff,Sweet flavors
Fraxure	Withered Wasteland	Dark	Lots of fire,Luxury,Lots of dirt,Exercise,Sharp stuff,Spicy flavors
Haxorus	Withered Wasteland	Dark	Lots of fire,Luxury,Lots of dirt,Exercise,Sharp stuff,Sour flavors
Goomy	Withered Wasteland	Humid	Lots of water,Luxury,Lots of nature,Cleanliness,Healing,Sweet flavors
Sliggoo	Withered Wasteland	Humid	Lots of water,Luxury,Soft stuff,Cleanliness,Healing,Sweet flavors
Pichu	Withered Wasteland	Bright	Electronics,Glass stuff,Cute stuff,Pretty flowers,Fabric,Sweet flavors
Peakychu	Bleak Beach	Bright	Electronics,Glass stuff,Cute stuff,Healing,Letters and words,Sweet flavors
???	Sparkling Skylands	Bright	
Zubat	Bleak Beach	Dark	Spooky stuff,Nice breezes,Wooden stuff,Noisy stuff,Complicated stuff,Spicy flavors
???	Bleak Beach	Dark	
Crobat	Bleak Beach	Dark	
Meowth	Bleak Beach	Cool	Containers,Group activities,Shiny stuff,Glass stuff,Luxury,Spicy flavors
Growlithe	Bleak Beach	Warm	Lots of fire,Stone stuff,Nice breezes,Letters and words,Pretty flowers,Sweet flavors
Arcanine	Rocky Ridges	Warm	Lots of fire,Stone stuff,Nice breezes,Watching stuff,Symbols,Spicy flavors
Farfetch'd	Bleak Beach	Warm	Soft stuff,Nice breezes,Wooden stuff,Slender objects,Exercise,Spicy flavors
???	Bleak Beach	Dark	
Voltorb	Bleak Beach	Bright	Electronics,Shiny stuff,Round stuff,Colorful stuff,Spinning stuff,Bitter flavors
???	Bleak Beach	Bright	
Exeggcute	Bleak Beach	Bright	Lots of nature,Strange stuff,Gatherings,Watching stuff,Group activities,Spicy flavors
???	Bleak Beach	Bright	
Happiny	Bleak Beach	Bright	Soft stuff,Fabric,Healing,Round stuff,Containers,Sweet flavors
Elekid	Bleak Beach	Bright	Electronics,Glass stuff,Cute stuff,Round stuff,Spinning stuff,Sweet flavors
Lapras	Bleak Beach	Humid	Lots of water,Ocean vibes,Cleanliness,Watching stuff,Healing,Sour flavors
Snorlax	Bleak Beach	Bright	Soft stuff,Fabric,Looks like food,Watching stuff,Strange stuff,Spicy flavors
Spinarak	Bleak Beach	Humid	Lots of nature,Wooden stuff,Garbage,Rides,Colorful stuff,Bitter flavors
Ariados	Bleak Beach	Humid	Lots of nature,Wooden stuff,Garbage,Rides,Colorful stuff,Sour flavors
Mareep	Bleak Beach	Bright	Electronics,Shiny stuff,Glass stuff,Cute stuff,Fabric,Sweet flavors
Flaaffy	Bleak Beach	Bright	Electronics,Shiny stuff,Glass stuff,Cute stuff,Rides,Bitter flavors
Azurill	Bleak Beach	Humid	Lots of water,Cute stuff,Cleanliness,Healing,Rides,Sour flavors
Marill	Bleak Beach	Humid	Lots of water,Cute stuff,Cleanliness,Round stuff,Symbols,Sour flavors
???	Bleak Beach		
Clodsire	Bleak Beach	Humid	Garbage,Lots of dirt,Lots of water,Cleanliness,Round stuff,Bitter flavors
Smeargle	Bleak Beach	Bright	Soft stuff,Fabric,Strange stuff,Colorful stuff,Shiny stuff,Dry flavors
Torchic	Bleak Beach	Warm	Lots of fire,Stone stuff,Cute stuff,Containers,Pretty flowers,Sweet flavors
Combusken	Bleak Beach	Warm	Lots of fire,Stone stuff,Exercise,Containers,Construction,Spicy flavors
Blaziken	Bleak Beach	Warm	Lots of fire,Luxury,Exercise,Containers,Construction,Spicy flavors
???	Bleak Beach	Humid	
Makuhita	Bleak Beach	Bright	Exercise,Construction,Fabric,Round stuff,Wooden stuff,Sweet flavors
Hariyama	Bleak Beach	Bright	Exercise,Construction,Fabric,Round stuff,Rides,Spicy flavors
Piplup	Bleak Beach	Humid	Lots of water,Ocean vibes,Nice breezes,Cleanliness,Containers,Sweet flavors
Prinplup	Bleak Beach	Humid	Lots of water,Ocean vibes,Nice breezes,Cleanliness,Containers,Dry flavors
Audino	Bleak Beach	Bright	Soft stuff,Fabric,Healing,Cute stuff,Round stuff,Bitter flavors
Zorua	Bleak Beach	Dark	Shiny stuff,Luxury,Glass stuff,Cute stuff,Group activities,Sour flavors
Zoroark	Bleak Beach	Dark	Shiny stuff,Luxury,Glass stuff,Strange stuff,Group activities,Spicy flavors
Minccino	Bleak Beach	Bright	Soft stuff,Fabric,Rides,Cute stuff,Cleanliness,Sweet flavors
Grubbin	Bleak Beach	Bright	Lots of nature,Electronics,Watching stuff,Lots of dirt,Containers,Dry flavors
Pawmi	Bleak Beach	Bright	Electronics,Shiny stuff,Cute stuff,Glass stuff,Group activities,Sweet flavors
Pawmo	Bleak Beach	Bright	Electronics,Shiny stuff,Exercise,Glass stuff,Group activities,Sweet flavors
???	Bleak Beach	Bright	
Ekans	Rocky Ridges	Dark	Garbage,Watching stuff,Lots of nature,Slender objects,Spinning stuff,Spicy flavors
Arbok	Rocky Ridges	Dark	Garbage,Watching stuff,Lots of nature,Slender objects,Spinning stuff,Spicy flavors
Cleffa	Rocky Ridges	Dark	Cute stuff,Round stuff,Colorful stuff,Healing,Rides,Sweet flavors
Clefairy	Rocky Ridges	Dark	Cute stuff,Play spaces,Pretty flowers,Healing,Group activities,Sweet flavors
Clefable	Rocky Ridges	Dark	Cute stuff,Play spaces,Pretty flowers,Healing,Group activities,Sour flavors
Igglybuff	Rocky Ridges	Warm	Soft stuff,Cute stuff,Play spaces,Healing,Noisy stuff,Sweet flavors
Jigglypuff	Rocky Ridges	Bright	Soft stuff,Cute stuff,Play spaces,Healing,Wobbly stuff,Sweet flavors
Diglett	Rocky Ridges	Dark	Lots of dirt,Play spaces,Cute stuff,Group activities,Slender objects,Bitter flavors
Dugtrio	Rocky Ridges	Dark	Lots of dirt,Play spaces,Gatherings,Group activities,Slender objects,Spicy flavors
Machoke	Rocky Ridges	Bright	Exercise,Construction,Stone stuff,Hard stuff,Group activities,Sour flavors
Machamp	Rocky Ridges	Bright	Exercise,Construction,Stone stuff,Hard stuff,Group activities,Spicy flavors
Graveler	Rocky Ridges	Dark	Stone stuff,Hard stuff,Spinning stuff,Round stuff,Exercise,Bitter flavors
Magmar	Rocky Ridges	Warm	Lots of fire,Stone stuff,Electronics,Hard stuff,Exercise,Sweet flavors
Bonsly	Rocky Ridges	Dry	Stone stuff,Hard stuff,Lots of nature,Wooden stuff,Round stuff,Sour flavors
???	Rocky Ridges	Dry	
Larvitar	Rocky Ridges	Dark	Stone stuff,Lots of dirt,Luxury,Shiny stuff,Looks like food,Sweet flavors
Pupitar	Sparkling Skylands	Dark	Stone stuff,Hard stuff,Luxury,Shiny stuff,Watching stuff,Dry flavors
Tyranitar	Rocky Ridges	Dark	Stone stuff,Hard stuff,Luxury,Shiny stuff,Exercise,Spicy flavors
Lotad	Rocky Ridges	Humid	Lots of water,Lots of nature,Cleanliness,Containers,Noisy stuff,Dry flavors
Lombre	Rocky Ridges	Humid	Lots of water,Lots of nature,Cleanliness,Containers,Noisy stuff,Bitter flavors
Ludicolo	Rocky Ridges	Humid	Lots of water,Lots of nature,Play spaces,Containers,Noisy stuff,Dry flavors
Kricketot	Rocky Ridges	Dark	Lots of nature,Wooden stuff,Noisy stuff,Colorful stuff,Lots of water,Bitter flavors
???	Rocky Ridges	Dark	
???	Rocky Ridges	Warm	
Riolu	Rocky Ridges	Dark	Exercise,Fabric,Construction,Gatherings,Watching stuff,Spicy flavors
???	Rocky Ridges		
Rotom	Rocky Ridges	Bright	Shiny stuff,Glass stuff,Noisy stuff,Group activities,Blocky stuff,Bitter flavors
???	Rocky Ridges	Dry	
Volcarona	Rocky Ridges	Dry	Lots of nature,Lots of fire,Letters and words,Wooden stuff,Symbols,Dry flavors
Dartrix	Rocky Ridges	Dark	Lots of nature,Wooden stuff,Nice breezes,Slender objects,Cleanliness,Sour flavors
Scorbunny	Rocky Ridges	Warm	Lots of fire,Stone stuff,Soft stuff,Group activities,Sharp stuff,Dry flavors
Greedent	Rocky Ridges	Warm	Soft stuff,Metal stuff,Group activities,Looks like food,Luxury,Sweet flavors
Toxel	Rocky Ridges	Humid	Electronics,Shiny stuff,Noisy stuff,Glass stuff,Garbage,Sweet flavors
Fidough	Rocky Ridges	Warm	Cute stuff,Watching stuff,Soft stuff,Lots of fire,Letters and words,Sweet flavors
Dachsbun	Rocky Ridges	Warm	Cute stuff,Watching stuff,Group activities,Lots of fire,Looks like food,Sour flavors
Charcadet	Rocky Ridges	Warm	Lots of fire,Stone stuff,Strange stuff,Exercise,Luxury,Sweet flavors
???	Rocky Ridges	Dark	
???	Rocky Ridges	Dark	
Gimmighoul	Rocky Ridges	Dark	Spooky stuff,Metal stuff,Strange stuff,Shiny stuff,Complicated stuff,Bitter flavors
Vulpix	Sparkling Skylands	Warm	Lots of fire,Soft stuff,Cute stuff,Round stuff,Pretty flowers,Bitter flavors
Ninetales	Sparkling Skylands	Warm	Lots of fire,Soft stuff,Watching stuff,Luxury,Pretty flowers,Dry flavors
???	Rocky Ridges	Humid	
Abra	Sparkling Skylands	Dark	Strange stuff,Wobbly stuff,Metal stuff,Soft stuff,Watching stuff,Dry flavors
???	Sparkling Skylands	Dark	
Alakazam	Sparkling Skylands	Dark	Strange stuff,Wobbly stuff,Metal stuff,Letters and words,Watching stuff,Bitter flavors
???	Sparkling Skylands	Bright	
Dratini	Sparkling Skylands	Humid	Lots of water,Lots of fire,Cleanliness,Cute stuff,Slender objects,Sweet flavors
???	Sparkling Skylands	Humid	
Dragonite	Sparkling Skylands	Humid	Lots of fire,Nice breezes,Cleanliness,Symbols,Pretty flowers,Dry flavors
???	Sparkling Skylands	Warm	
Misdreavus	Sparkling Skylands	Dark	Spooky stuff,Strange stuff,Shiny stuff,Colorful stuff,Watching stuff,Dry flavors
???	Sparkling Skylands	Dark	
Girafarig	Sparkling Skylands	Warm	Soft stuff,Strange stuff,Rides,Watching stuff,Slender objects,Sour flavors
???	Sparkling Skylands	Bright	
???	Sparkling Skylands	Bright	
Gardevoir	Sparkling Skylands	Bright	Strange stuff,Luxury,Healing,Watching stuff,Symbols,Sour flavors
Trapinch	Sparkling Skylands	Dry	Lots of dirt,Hard stuff,Strange stuff,Watching stuff,Exercise,Spicy flavors
Vibrava	Sparkling Skylands	Dry	Lots of dirt,Lots of fire,Lots of nature,Luxury,Noisy stuff,Bitter flavors
Flygon	Sparkling Skylands	Dry	Lots of dirt,Lots of fire,Lots of nature,Stone stuff,Wooden stuff,Sour flavors
Swablu	Sparkling Skylands	Bright	Soft stuff,Nice breezes,Cute stuff,Watching stuff,Cleanliness,Sweet flavors
Altaria	Sparkling Skylands	Bright	Soft stuff,Nice breezes,Cute stuff,Watching stuff,Noisy stuff,Sour flavors
Duskull	Sparkling Skylands	Dark	Spooky stuff,Strange stuff,Rides,Glass stuff,Fabric,Bitter flavors
???	Sparkling Skylands	Dark	
Metang	Sparkling Skylands	Cool	Metal stuff,Strange stuff,Hard stuff,Complicated stuff,Stone stuff,Bitter flavors
Snivy	Sparkling Skylands	Humid	Lots of nature,Wooden stuff,Lots of water,Wobbly stuff,Shiny stuff,Sour flavors
Serperior	Sparkling Skylands	Humid	Lots of nature,Wooden stuff,Lots of water,Containers,Slender objects,Dry flavors
Froakie	Sparkling Skylands	Humid	Lots of water,Ocean vibes,Cleanliness,Watching stuff,Containers,Spicy flavors
Frogadier	Sparkling Skylands	Humid	Lots of water,Ocean vibes,Cleanliness,Watching stuff,Exercise,Spicy flavors
Greninja	Sparkling Skylands	Humid	Lots of water,Ocean vibes,Cleanliness,Shiny stuff,Exercise,Bitter flavors
Dedenne	Sparkling Skylands		
Rookidee	Sparkling Skylands	Bright	Nice breezes,Shiny stuff,Containers,Slender objects,Wooden stuff,Sour flavors
Corvisquire	Sparkling Skylands	Bright	Nice breezes,Shiny stuff,Containers,Slender objects,Wooden stuff,Dry flavors
???	Sparkling Skylands	Bright	
Dreepy	Sparkling Skylands	Humid	Lots of fire,Spooky stuff,Rides,Strange stuff,Group activities,Spicy flavors
Drakloak	Sparkling Skylands	Humid	Lots of fire,Spooky stuff,Rides,Strange stuff,Group activities,Sweet flavors
Sprigatito	Sparkling Skylands	Bright	Lots of nature,Pretty flowers,Containers,Colorful stuff,Cute stuff,Sweet flavors
Wattrel	Sparkling Skylands	Bright	Electronics,Nice breezes,Ocean vibes,Gatherings,Complicated stuff,Spicy flavors
???	Rocky Ridges		
Eevee	Palette Town	Warm	Soft stuff,Stone stuff,Cute stuff,Letters and words,Group activities,Sweet flavors
Vaporeon	Palette Town	Humid	
Jolteon	Palette Town		
Flareon	Palette Town		
Espeon	Palette Town		
Umbreon	Palette Town		
Leafeon	Palette Town		
Glaceon	Palette Town		
Sylveon	Palette Town		
Kyogre	Withered Wasteland	Humid	Lots of water,Ocean vibes,Luxury,Shiny stuff,Glass stuff,Dry flavors
Raikou	Withered Wasteland	Bright	Electronics,Nice breezes,Shiny stuff,Glass stuff,Luxury,Dry flavors
Volcanion	Rocky Ridges	Warm	Lots of fire,Lots of water,Stone stuff,Containers,Symbols,Spicy flavors
Mewtwo	Sparkling Skylands	Dark	Strange stuff,Watching stuff,Letters and words,Complicated stuff,Stone stuff,Dry flavors
Hoppip	Rocky Ridges	Bright	Soft stuff,Lots of nature,Nice breezes,Pretty flowers,Wobbly stuff,Sweet flavors
Skiploom	Withered Wasteland	Bright	Soft stuff,Lots of nature,Nice breezes,Pretty flowers,Spinning stuff,Dry flavors
Jumpluff	Withered Wasteland	Bright	Soft stuff,Lots of nature,Nice breezes,Pretty flowers,Round stuff,Sour flavors
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
